Chemical_Name,Formula,RT,RI,RI Ref,CAS_Number,group,Similarity_to_Previous,Similarity_to_Next,MS_Peaks,File
Aspartic acid,,17.167,1671.531,,000056-84-8,30,0.24279399422471803,0.013215806853039025,"[(41, 10.9251), (42, 92.6664), (43, 32.7626), (44, 6.7399), (45, 6.4155), (47, 8.0067), (53, 1.6672), (54, 2.4193), (55, 23.5059), (56, 23.5357), (57, 32.9421), (58, 13.0656), (59, 149.6529), (60, 5.263), (61, 0.8675), (68, 6.2999), (69, 9.4233), (70, 13.9351), (71, 1.4854), (72, 1.8377), (73, 0.6978), (74, 28.9933), (75, 43.5337), (76, 3.1547), (81, 0.6187), (82, 1.7789), (84, 19.8379), (85, 25.3774), (86, 202.56), (87, 10.197), (88, 19.1829), (89, 13.4064), (90, 0.6795), (91, 1.4318), (96, 92.5653), (97, 4.6832), (98, 0.8709), (99, 3.6151), (100, 16.8892), (101, 32.53), (102, 5.7572), (103, 11.5986), (104, 0.6035), (113, 63.6636), (114, 9.752), (115, 6.6679), (116, 10.8306), (117, 39.7103), (118, 222.2036), (119, 11.1481), (120, 1.5951), (126, 0.0367), (127, 57.4837), (128, 437.8804), (129, 29.5323), (130, 3.5689), (146, 26.5866), (147, 1.4612), (154, 0.7906), (155, 13.6537), (156, 32.737), (157, 2.5339), (159, 68.8075), (160, 999.0), (161, 78.2698), (162, 11.0008), (163, 0.9918), (187, 13.4229), (188, 5.9973), (219, 1.8843), (220, 0.9166)]",G34-AllBestHits.cef
Citric acid,,17.207,1674.664,,000077-92-9,31,0.013215806853039025,0.004098456512956816,"[(101, 541.898), (111, 31.94), (143, 999.0), (144, 67.47), (153, 52.4511), (175, 121.9256)]",G6-AllBestHits.cef
"2,4-Di-tert-butylphenol (derivatization artefact)",,17.286,1680.797,,000096-76-4,32,0.004098456512956816,0.0,"[(57, 128.0132), (74, 40.5926), (107, 22.6491), (163, 56.459), (175, 39.8975), (191, 999.0), (192, 139.9243), (206, 174.7253)]",G10-AllBestHits.cef
Pyroglutamic acid,,17.293,1681.316,,000098-79-3,33,0.0,0.005399374808016777,"[(41, 77.7923), (56, 37.0712), (84, 999.0), (141, 4.9767), (143, 50.5187)]",G25-AllBestHits.cef
Unknown RT 17.50,,17.503,1697.678,,000056-41-7,34,0.005399374808016777,0.21951501101585258,"[(41, 28.4653), (42, 57.9683), (43, 65.8529), (44, 75.7663), (45, 20.2519), (48, 10.3579), (56, 102.5735), (57, 24.3192), (58, 122.309), (59, 258.801), (60, 12.9597), (63, 15.3337), (64, 3.1831), (65, 14.7913), (70, 136.6504), (71, 13.4319), (75, 16.8046), (76, 19.3664), (77, 12.5328), (79, 237.9182), (80, 30.1783), (88, 206.8002), (89, 14.6729), (101, 26.1335), (102, 999.0), (103, 55.1104), (118, 33.1543), (150, 22.9741)]",G5-AllBestHits.cef
Unknown RT 18.07,,18.069,1734.506,,000056-40-6,35,0.21951501101585258,0.047741219820648384,"[(44, 120.2721), (56, 73.686), (59, 115.1197), (88, 999.0), (89, 44.0774), (115, 115.4423), (116, 194.5029)]",G25-AllBestHits.cef
"Tridecanoic acid, 12-methyl- (NIST)",,18.365,1753.635,,000021-00-6,35,0.047741219820648384,0.9245674742617811,"[(41, 108.9786), (42, 24.6685), (43, 181.7761), (55, 157.5935), (56, 36.8131), (57, 107.4595), (59, 51.5582), (69, 122.2632), (74, 999.0), (75, 154.4395), (83, 85.8115), (87, 733.0354), (88, 61.7048), (97, 92.7088), (111, 46.2173), (143, 274.9489), (157, 73.5832), (185, 60.6825), (199, 470.3811), (200, 62.6679), (211, 44.8261), (213, 43.8606), (242, 59.5588)]",G11-AllBestHits.cef
Myristic acid (C14_0),,18.997,1794.346,,000544-63-8,35,0.9618918528007212,0.9902592334796222,"[(41, 99.8737), (42, 22.7293), (43, 154.0123), (44, 5.5997), (45, 5.9666), (53, 7.36), (54, 9.2822), (55, 146.5608), (56, 27.5757), (57, 87.2548), (58, 5.9122), (59, 58.0633), (60, 2.3583), (67, 19.4476), (68, 9.6087), (69, 99.0375), (70, 18.758), (71, 38.2351), (74, 999.0), (75, 160.2658), (81, 18.9288), (82, 9.0479), (83, 66.1693), (84, 33.6704), (85, 23.2447), (87, 716.3663), (88, 64.2915), (89, 5.3595), (93, 6.1598), (94, 1.8948), (95, 18.7518), (96, 8.1015), (97, 60.1747), (98, 31.7569), (99, 6.6525), (101, 79.2806), (102, 7.8709), (107, 4.5459), (109, 10.6937), (110, 4.7446), (111, 25.1122), (113, 3.9582), (115, 29.2471), (116, 11.1778), (121, 4.9793), (123, 5.9516), (124, 3.193), (125, 11.8868), (129, 92.9044), (130, 19.1368), (135, 4.6162), (139, 5.657), (143, 312.5752), (144, 31.6636), (145, 2.8132), (149, 3.1507), (153, 3.4755), (157, 74.4231), (158, 8.8716), (168, 5.6157), (171, 27.8148), (172, 4.7179), (185, 74.4348), (186, 11.1066), (199, 253.3636), (200, 35.1569), (201, 3.218), (211, 114.5373), (212, 18.521), (213, 52.6855), (214, 8.3503), (242, 105.5167), (243, 18.2246), (244, 1.8627)]",G13-AllBestHits.cef
Glutamic acid,,19.352,1812.765,,000056-86-0,36,0.02506819102165847,0.24204412137955977,"[(41, 70.0307), (42, 85.0989), (43, 22.0265), (44, 12.8986), (45, 14.6051), (53, 2.9045), (54, 23.3228), (55, 44.3168), (56, 43.0719), (57, 15.1237), (59, 145.6302), (60, 7.3125), (66, 5.248), (68, 22.5622), (69, 12.7147), (70, 68.2339), (71, 34.7844), (72, 3.9994), (74, 14.9603), (75, 8.5244), (82, 194.8291), (83, 34.7325), (84, 30.7467), (88, 11.7728), (95, 3.6999), (96, 4.3783), (98, 151.7848), (99, 26.6256), (100, 42.5929), (101, 17.5981), (103, 23.3737), (109, 3.7177), (110, 160.6964), (111, 10.7669), (113, 15.6454), (114, 834.9385), (115, 75.3589), (116, 6.2315), (126, 6.497), (127, 23.3755), (128, 22.4088), (130, 3.6489), (141, 63.0746), (142, 999.0), (143, 74.8151), (144, 8.6529), (146, 47.5662), (147, 4.0559), (158, 11.7895), (159, 20.4577), (160, 8.8937), (169, 122.08), (170, 45.5739), (171, 4.2536), (174, 987.4699), (175, 82.1811), (176, 11.0517), (201, 89.1179), (202, 73.1647), (203, 7.4022)]",GQC6-AllBestHits.cef
Methionine,,19.493,1819.501,,000063-68-3,37,0.24204412137955977,0.04624371611939193,"[(42, 128.7311), (54, 58.0344), (59, 274.9239), (61, 788.1803), (62, 45.1222), (63, 43.5362), (75, 152.9881), (88, 111.6255), (99, 53.2019), (100, 136.5281), (114, 709.4097), (115, 999.0), (116, 60.8849), (128, 383.2378), (138, 92.1626), (141, 237.1026), (143, 239.5041), (147, 935.4019), (148, 64.8844), (160, 238.5364), (162, 226.5687), (189, 129.5124), (221, 212.7317)]",G36-AllBestHits.cef
